nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19116201,756102,América
Colombia,51874024,1141748,América
México,126014024,1964375,América
Uruguay,3473730,176215,América
Paraguay,7353038,406752,América
Perú,32971854,1285216,América
Bolivia,12079472,1098581,América
Venezuela,28199867,916445,América
Estados Unidos,331000000,9833517,América
Canadá,38005238,9984670,América
Japón,125800000,377975,Asia
China,1411100000,9596960,Asia
India,1380004385,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,273523615,1904569,Asia
Turquía,84339067,783562,Asia
Arabia Saudita,34813871,2149690,Asia
Vietnam,97338579,331212,Asia
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
Italia,60317116,301340,Europa
España,47351567,505990,Europa
Reino Unido,67886011,242495,Europa
Polonia,37950802,312679,Europa
Países Bajos,17441139,41543,Europa
Portugal,10196709,92212,Europa
Suecia,10379295,450295,Europa
Grecia,10423054,131957,Europa
Nigeria,206139589,923768,África
Etiopía,114963588,1104300,África
Egipto,102334404,1001449,África
Sudáfrica,59308690,1219090,África
Tanzania,59734218,945087,África
Kenia,53771296,580367,África
Ghana,31072940,238533,África
Mozambique,32163047,801590,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,5084300,270467,Oceanía
